ID,TIME_MOVE,SUCESS
0.0,43637.0,1.0
1.5849625007211563,245.14285714285714,1.0
2.1375035237499347,264.77777777777777,1.0
2.1699250014423126,280.0,1.0
2.4128928137323955,260.0,1.0
2.584962500721156,336.3333333333333,1.0
2.722466024471091,273.14285714285717,1.0
2.895386018931,351.45454545454544,1.0
2.997855314453552,319.4,1.0
3.1375035237499347,373.0,1.0
3.1699250014423126,348.27272727272725,1.0
3.2168135835423914,354.8333333333333,1.0
3.412892813732396,392.6666666666667,1.0
3.480348519652156,365.875,1.0
3.722466024471091,373.22222222222223,1.0
3.801776084263548,356.5,1.0
3.997855314453552,414.14285714285717,1.0
4.169925001442312,445.6,1.0
4.480348519652156,456.5,1.0
4.722466024471092,410.0,1.0
4.801776084263548,406.75,1.0
4.997855314453552,450.0,1.0
