ID,TIME_MOVE,SUCESS
0.0,43514.0,1.0
1.5849625007211563,216.0,1.0
2.1375035237499347,249.66666666666666,1.0
2.1699250014423126,238.33333333333334,1.0
2.4128928137323955,255.16666666666666,1.0
2.584962500721156,317.3333333333333,1.0
2.722466024471091,308.7142857142857,1.0
2.895386018931,357.27272727272725,1.0
2.997855314453552,329.4,1.0
3.1375035237499347,430.0,1.0
3.1699250014423126,311.45454545454544,1.0
3.2168135835423914,337.8333333333333,1.0
3.412892813732396,404.0,1.0
3.480348519652156,361.75,1.0
3.722466024471091,355.0,0.8888888888888888
3.801776084263548,406.75,1.0
3.997855314453552,436.14285714285717,1.0
4.169925001442312,442.2,1.0
4.480348519652156,388.0,1.0
4.722466024471092,412.0,1.0
4.801776084263548,443.5,1.0
4.997855314453552,484.6,1.0
